date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:18	52755/52755	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Nov%202023%2022:19:50%20GMT	https://seantheme.com/color-admin/admin/google/index_v2.html	C:/Users/Hp/Documents/Website%20Templates/Web1/Google%20POS/seantheme.com/color-admin/admin/google/index_v2.html	(from )
15:57:18	30/30	---M--	200	added ('OK')	text/plain	date:Fri,%2010%20Jun%202022%2014:35:13%20GMT	https://seantheme.com/robots.txt		(from )
15:57:19	209490/209490	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Sep%202023%2008:50:59%20GMT	https://seantheme.com/color-admin/admin/assets/css/vendor.min.css	C:/Users/Hp/Documents/Website%20Templates/Web1/Google%20POS/seantheme.com/color-admin/admin/assets/css/vendor.min.css	(from https://seantheme.com/color-admin/admin/google/index_v2.html)
15:57:20	857374/857374	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202023%2014:29:04%20GMT	https://seantheme.com/color-admin/admin/assets/css/google/app.min.css	C:/Users/Hp/Documents/Website%20Templates/Web1/Google%20POS/seantheme.com/color-admin/admin/assets/css/google/app.min.css	(from https://seantheme.com/color-admin/admin/google/index_v2.html)
15:57:21	6107/6107	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Jun%202022%2014:35:09%20GMT	https://seantheme.com/color-admin/admin/assets/plugins/jvectormap-next/jquery-jvectormap.css	C:/Users/Hp/Documents/Website%20Templates/Web1/Google%20POS/seantheme.com/color-admin/admin/assets/plugins/jvectormap-next/jquery-jvectormap.css	(from https://seantheme.com/color-admin/admin/google/index_v2.html)
15:57:21	1595/1595	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Jun%202022%2014:35:09%20GMT	https://seantheme.com/color-admin/admin/assets/plugins/gritter/css/jquery.gritter.css	C:/Users/Hp/Documents/Website%20Templates/Web1/Google%20POS/seantheme.com/color-admin/admin/assets/plugins/gritter/css/jquery.gritter.css	(from https://seantheme.com/color-admin/admin/google/index_v2.html)
15:57:21	8663/8663	---MCZ	200	added ('OK')	text/css	date:Fri,%2010%20Jun%202022%2014:35:09%20GMT	https://seantheme.com/color-admin/admin/assets/plugins/nvd3/build/nv.d3.css	C:/Users/Hp/Documents/Website%20Templates/Web1/Google%20POS/seantheme.com/color-admin/admin/assets/plugins/nvd3/build/nv.d3.css	(from https://seantheme.com/color-admin/admin/google/index_v2.html)
15:57:21	12075/12075	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Sep%202022%2014:44:15%20GMT	https://seantheme.com/color-admin/admin/assets/plugins/datepickk/dist/datepickk.min.css	C:/Users/Hp/Documents/Website%20Templates/Web1/Google%20POS/seantheme.com/color-admin/admin/assets/plugins/datepickk/dist/datepickk.min.css	(from https://seantheme.com/color-admin/admin/google/index_v2.html)
15:57:22	3528/3528	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Jun%202022%2014:35:08%20GMT	https://seantheme.com/color-admin/admin/assets/img/user/user-1.jpg	C:/Users/Hp/Documents/Website%20Templates/Web1/Google%20POS/seantheme.com/color-admin/admin/assets/img/user/user-1.jpg	(from https://seantheme.com/color-admin/admin/google/index_v2.html)
15:57:22	69801/69801	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Nov%202023%2022:19:50%20GMT	https://seantheme.com/color-admin/admin/google/index.html	C:/Users/Hp/Documents/Website%20Templates/Web1/Google%20POS/seantheme.com/color-admin/admin/google/index.html	(from https://seantheme.com/color-admin/admin/google/index_v2.html)
